Tool,异常总计
APVD01-A,1
ASEM01,1
OM,1
ACLN01,2
APVD01-E,2
ASCR03,2
ATRM01-B,2
ADET01,3
APAC01,3
ASCR02,3
ASTR01,3
AICP01-B,5
AWFM01,6
ASCR01,12
APVD01-B,13
ATAP01,13
AMTH01,20
AAFM01,21
ATHK01,23
AWBG01,23
AREL01,28
ACVD01,30
ACVD01-B,30
ATRM01,30
AACW01,33
AASH02,34
APVD01,34
ASSW01,38
AICP01-C,39
ATRM02-B,39
ATRM02,40
AASH01,43
APVD01-D,43
APRF01,44
APVD01-C,44
ATRM02-A,44
ACVD01-C,48
AICP01,51
AEGN01,53
AICP01-D,54
AICP01-A,83
ALIF01,105
